transaction_id,scenario,manual_review,notes
TXN-00043,UNCLASSIFIED,True,Conflicting values intentionally created for manual review.
TXN-00044,UNCLASSIFIED,True,Conflicting values intentionally created for manual review.
TXN-00045,AMOUNT_MISMATCH,False,Bank credited a different amount than expected.
TXN-00046,SUCCESS,False,Settlement completed normally.
TXN-00047,SUCCESS,False,Settlement completed normally.
TXN-00048,SUCCESS,False,Settlement completed normally.
TXN-00049,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00050,PARTIAL_SETTLEMENT,False,Only part of the expected settlement amount was credited.
TXN-00051,SUCCESS,False,Settlement completed normally.
TXN-00052,DUPLICATE_UTR,False,UTR is shared with TXN-00021.
TXN-00053,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00054,SUCCESS,False,Settlement completed normally.
TXN-00055,MISSING_BANK_RECORD,False,No corresponding bank settlement record exists.
TXN-00056,UNCLASSIFIED,True,Conflicting values intentionally created for manual review.
TXN-00057,DUPLICATE_UTR,False,UTR is shared with TXN-00094.
TXN-00058,SUCCESS,False,Settlement completed normally.
TXN-00059,AMOUNT_MISMATCH,False,Bank credited a different amount than expected.
TXN-00060,SUCCESS,False,Settlement completed normally.
TXN-00061,AMOUNT_MISMATCH,False,Bank credited a different amount than expected.
TXN-00062,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00063,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00064,SUCCESS,False,Settlement completed normally.
TXN-00065,SUCCESS,False,Settlement completed normally.
TXN-00066,AMOUNT_MISMATCH,False,Bank credited a different amount than expected.
TXN-00067,DUPLICATE_UTR,False,UTR is shared with TXN-00082.
TXN-00068,SUCCESS,False,Settlement completed normally.
TXN-00069,DUPLICATE_UTR,False,UTR is shared with TXN-00028.
TXN-00070,AMOUNT_MISMATCH,False,Bank credited a different amount than expected.
TXN-00071,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00072,SUCCESS,False,Settlement completed normally.
TXN-00073,SUCCESS,False,Settlement completed normally.
TXN-00074,SUCCESS,False,Settlement completed normally.
TXN-00075,SUCCESS,False,Settlement completed normally.
TXN-00076,SUCCESS,False,Settlement completed normally.
TXN-00077,AMOUNT_MISMATCH,False,Bank credited a different amount than expected.
TXN-00078,SUCCESS,False,Settlement completed normally.
TXN-00079,SUCCESS,False,Settlement completed normally.
TXN-00080,SUCCESS,False,Settlement completed normally.
TXN-00081,SUCCESS,False,Settlement completed normally.
TXN-00082,DUPLICATE_UTR,False,UTR is shared with TXN-00067.
TXN-00083,DUPLICATE_UTR,False,UTR is shared with TXN-00008.
TXN-00084,SUCCESS,False,Settlement completed normally.
TXN-00085,SUCCESS,False,Settlement completed normally.
TXN-00086,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00087,SUCCESS,False,Settlement completed normally.
TXN-00088,SUCCESS,False,Settlement completed normally.
TXN-00089,MISSING_BANK_RECORD,False,No corresponding bank settlement record exists.
TXN-00090,SUCCESS,False,Settlement completed normally.
TXN-00091,SUCCESS,False,Settlement completed normally.
TXN-00092,MISSING_BANK_RECORD,False,No corresponding bank settlement record exists.
TXN-00093,MISSING_BANK_RECORD,False,No corresponding bank settlement record exists.
TXN-00094,DUPLICATE_UTR,False,UTR is shared with TXN-00057.
TXN-00095,PARTIAL_SETTLEMENT,False,Only part of the expected settlement amount was credited.
TXN-00096,PARTIAL_SETTLEMENT,False,Only part of the expected settlement amount was credited.
TXN-00097,SUCCESS,False,Settlement completed normally.
TXN-00098,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00099,MISSING_BANK_RECORD,False,No corresponding bank settlement record exists.
TXN-00100,SUCCESS,False,Settlement completed normally.
